"Date","Price","Open","High","Low","Vol.","Change %"
"11/05/2024","12,878.94","12,946.54","13,095.48","12,757.44","178.98M","0.17%"
"11/04/2024","12,857.56","13,218.37","13,263.71","12,795.16","210.17M","-2.26%"
"11/01/2024","13,154.35","12,793.90","13,194.46","12,793.90","197.99M","3.18%"
"10/31/2024","12,748.41","12,755.04","12,901.93","12,681.37","158.01M","-0.31%"
"10/30/2024","12,788.20","12,510.41","12,859.61","12,510.41","176.40M","2.46%"
"10/28/2024","12,481.45","12,469.75","12,575.60","12,469.75","67.05M","0.04%"
"10/25/2024","12,476.38","12,416.42","12,514.75","12,321.69","131.88M","0.14%"
"10/24/2024","12,459.14","12,306.75","12,513.02","12,306.75","183.35M","1.14%"
"10/23/2024","12,318.63","12,152.02","12,389.53","12,004.50","170.89M","1.44%"
"10/22/2024","12,143.46","11,988.05","12,160.50","11,897.55","141.76M","1.57%"
"10/21/2024","11,955.65","12,196.48","12,266.71","11,923.21","119.11M","-1.98%"
"10/18/2024","12,196.96","12,302.70","12,468.12","12,143.51","124.72M","0.09%"
"10/17/2024","12,186.55","11,976.14","12,250.16","11,963.08","140.14M","1.60%"
"10/16/2024","11,994.71","11,941.34","12,015.66","11,807.27","153.74M","1.32%"
"10/15/2024","11,838.97","11,600.81","11,906.95","11,600.81","155.26M","2.20%"
"10/14/2024","11,583.61","11,779.17","11,945.73","11,535.72","147.23M","-1.62%"
"10/11/2024","11,774.76","11,997.12","12,030.92","11,699.68","111.43M","-1.64%"
"10/10/2024","11,970.63","12,268.42","12,335.07","11,955.07","101.89M","-2.38%"
"10/09/2024","12,262.49","12,194.54","12,262.49","12,061.54","119.01M","0.47%"
"10/08/2024","12,205.28","12,323.83","12,365.16","12,128.22","89.27M","-1.00%"
"10/07/2024","12,328.23","12,584.84","12,584.84","12,268.30","110.45M","-1.53%"
"10/04/2024","12,520.09","12,158.59","12,544.20","12,007.61","125.75M","2.88%"
"10/03/2024","12,169.39","11,971.49","12,325.07","11,942.81","145.14M","1.96%"
"10/02/2024","11,935.16","12,198.98","12,405.21","11,935.16","170.62M","-2.27%"
"10/01/2024","12,212.10","12,601.06","12,605.33","12,021.41","164.37M","-3.15%"
"09/30/2024","12,608.94","12,706.47","12,774.70","12,602.94","103.04M","-0.95%"
"09/27/2024","12,729.62","12,774.14","12,789.23","12,621.20","112.52M","-0.08%"
"09/26/2024","12,740.17","13,011.32","13,042.25","12,694.76","140.52M","-1.81%"
"09/25/2024","12,974.43","13,203.01","13,264.41","12,974.43","145.49M","-1.87%"
"09/24/2024","13,222.31","12,952.15","13,358.03","12,911.55","203.21M","2.30%"
"09/23/2024","12,925.51","13,042.43","13,154.40","12,915.49","146.25M","-0.21%"
"09/20/2024","12,952.71","12,999.77","13,010.79","12,866.46","121.90M","-0.15%"
"09/19/2024","12,972.25","12,832.23","12,989.85","12,775.06","174.08M","1.99%"
"09/18/2024","12,719.75","12,849.34","12,884.50","12,719.75","103.63M","-0.97%"
"09/17/2024","12,844.17","12,862.33","12,911.91","12,827.12","106.65M","0.32%"
"09/16/2024","12,802.98","12,966.69","13,033.11","12,775.39","104.98M","-0.96%"
"09/13/2024","12,927.46","12,564.44","12,930.11","12,497.46","118.93M","3.16%"
